Refran	Significado	Uso
Ganar sin ahorrar casi es no ganar	Una buena economía exige administración juiciosa, esto es, ganar y guardar.	En desuso
Gana tenía de tronchos quien besaba al hortelano	Quien pretende algo busca alguna mediación para facilitar su obtención.	En desuso
Gaviotas en tierra anuncian temporal fuera	Se trata de un anuncio de mal tiempo.	En desuso
Golondrina que con el ala roza la tierra, lluvia recela	Constatación meteorológica de la llegada cercana de la lluvia.	En desuso
Gota a gota, la mar se agota	Elogia la constancia, pues poco a poco todo llega a su fin. En ocasiones, denota también que los caudales más grandes desaparecen si no se lleva a cabo una prudente economía.	En desuso
Gota a gota, se llena la bota	El esfuerzo diario permite conseguir lo que uno desea.	En desuso
Grano a grano, hinche la gallina el papo	Recomienda guardar lo que se gana o adquiere, aunque se trate de pequeñas cantidades, pues al cabo de algún tiempo se hallará rico y abastecido.	En desuso
Gran tocado y chico recado	Recrimina a quien quiere disimular con el ornato exterior su escasa valía o su poco poder. Se dice también cuando se trae algo insignificante con mucho boato.	En desuso
Guárdate del hombre que no habla y del can que no ladra	Este refrán toma dos referentes, uno humano y otro animal, para recomendar alejarse de la persona que no expresa abiertamente sus opiniones, pues, al igual que el perro que permanece en silencio, puede ser peligroso y atacar cuando uno menos lo espera.	En desuso
Guerra, caza y amores, por un placer mil dolores	Advierte que los padecimientos suelen acompañar a situaciones aparentemente agradables.	En desuso
Gusta lo ajeno más por ajeno que por bueno	La envidia o el deslumbramiento de lo que no se posee confunde en la estima que de verdad merece.	En desuso
Habló el buey y dijo mu	Se aplica al necio acostumbrado a callar y que, cuando habla, es para decir algún disparate.	En desuso
Haceos de miel, y os comerán las moscas	Se abusa con facilidad de la persona de carácter demasiado blando o complaciente, por lo que resulta perjudicial la mucha suavidad y complacencia.	En desuso
Hacer bien nunca se pierde	Muestra lo mucho que importa realizar buenas acciones.	En desuso
Hacienda, tu amo te atienda	Para que vaya bien un negocio o un bien, el propietario debe cuidar de él personalmente y no dejarlo al cuidado de otro.	En desuso
Hágase el milagro, y hágalo el diablo	La desesperación o el oprtunismo puede hacer que se busque de modo irregular o anormal una solución a los problemas.	En desuso
Hambre que espera hartura, no es hambre pura	Sentir la necesidad o el deseo de calmar el hambre o las ganas de comer es una experiencia pasajera cuando se sabe casi con seguridad que se va a calmar. Se recomienda realizar con paciencia los trabajos en los que se sabe que habrá una recompensa o un beneficio.	En desuso
Harto ayuna quien mal come	No se debe pedir la observancia del ayuno a quienes apenas comen.	En desuso
Hasta la muerte, todo es vida	Aun en circunstancias difíciles, la vida es lo más valioso.	En desuso
Hasta los gatos quieren zapatos	Reprende irónicamente a quien tienen pretensiones superiores a su condición y mérito, a quienes quieren sobresalir y parecer más de lo que son.	En desuso
Hasta que es padecido, el mal no es conocido	Da a entender que sólo se percibe la gravedad de una enfermedad cuando uno o alguien muy próximo cae enfermo. En sentido más amplio, uno no se da realmente cuenta de los aspectos negativos de algo hasta que no los sufre personalmente.	En desuso
Hayamos paz y moriremos viejos	La tranquilidad de ánimo resulta muy beneficiosa e indispensable para un buen estado de salud.	En desuso
Haz buena harina y no toques bocina	Recomienda hacer buenas aciones sin difundirlo ni alardear de ello.	En desuso
Haz lo que tu amo te manda, y siéntate con él a la mesa	Enseña la obediencia que debe mostrar en todo momento el que sirve hacia el dueño, el subordinado hacia su superior, y la mucha estimación que se consigue con dicha obediencia.	En desuso
Hermosura sin talento, gallardía de jumento	Da a entender que la belleza física no sirve de nada si no va acompañada por la inteligencia.	En desuso
Hijo de mi hija, nieto ser; hijo de mi hijo, no saber	Alude a la predilección que se siente por los hijos de sus hijas antes que por los de sus hijos, porque se tiene la certeza de que son nietos.	En desuso
Hijo eres y padre serás; cual hicieres, tal habrás	Recomienda amar y atender a los padres tal como esperan ser luego ellos atendidos.	En desuso
Hijos criados, trabajos doblados	Las preocupaciones que siente los padres por los hijos se acrecientan cuando los hijos se van haciendo mayores, pues son mayores los problemas que puedean tener.	En desuso
Hijo sin dolor, madre sin amor	Se aprecia y ama lo que cuesta lograr. Se refiere en particular a las madrastras, que difícilmente puede amar a los hijos de su marido porque ellas no has sufrido las fatigas del embarazo ni del parto.	En desuso
Hombre lisonjero, falso y embustero	Recomienda desconfiar de quien se acerca con elogios desmedidos.	En desuso
Hombre pobre, con poco se alegra y socorre	La felicidad no está en poseer muchos bienes sino en conformarse con lo que se tiene. Así, la pobreza se sobrelleva mejor si se adopta una actitud adecuada y optimista.	En desuso
Hombre viejo, cada día un duelo nuevo	Alude a los achaques propios de la vejez, a las limitaciones y pesares que le afectan.	En desuso
Honra merece quien a los suyos se parece	Se elogia a quienes no desmerecen con sus acciones la buena fama de sus ascendientes.	En desuso
Honra y provecho no caben bajo el mismo techo	Por lo general, son poco beneficiosos los empleos de honor, pues en rigor implican desinterés; no resulta compatible, pues, ser honesto e interesado. Quien es honrado no ha de ser interesado. También significa que no suele ser honesto quien se enriquece en poco tiempo.	En desuso
Huí del perejil y nacióme en la frente	En ocasiones sucede que, por tratar de alejarse de un peligro, se cae en otro similar o peor.	En desuso
Huir del fuego para caer en las brasas	En ocasiones, uno trata de alejarse de un mal pasajero y topa con otro mayor.	En desuso
Humo y mala cara sacan a la gente de casa	Las situaciones que pueden entrañar peligro o que pueden ser desagradables ahuyentan a la gente..	En desuso
Huye del malo, que trae daño	Como es lógico, resulta raro que de lo malo venga un bien.	En desuso
Ira de hermanos, ira de diablos	Advierte de la gravedad que pueden alcanzar los efectos de la enemistad y el rencor entre hermanos, y también entre personsa unidas por parentesco.	En desuso
Jaula nueva, pájaro muerto	Los cambios, aunque sean ventajosos, pueden tener sus riesgos.	En desuso
Juego y bebida, casa perdida	Advierte contra las pérdidas y problemas que conllevan el juego y la bebida para el gobierno de una casa.	En desuso
La amistad conocerla, mas no perderla	Cuando surgen dudas o se enfría la amistad, es aconsejable no ser tajantes y mantener la relación, aunque no exista  la confianza de antes.	En desuso
La ausencia causa olvido	La falta de trato puede provocar un debilitamiento del vínculo amistoso o familliar.	En desuso
La boda de los pobres, toda es voces	La pobreza y la alegría no son incompatibles, como se aprecia en actos sociales importantes, en especial las bodas.	En desuso
La bolsa sin dinero dígola cuero	Alude a quien presume de tener dinero, pero no es así.	En desuso
Labrador chuchero, nunca buen apero	Se refiere al labrador que no avanza en las tareas agrícolas por distraerse con la caza. De modo más general, señala que resulta difícil hacer compatible la diversión y el trabajo.	En desuso
Labrador de capa negra, poco medra	Quien vive por encima de sus posibilidades, especialmente en su atuendo, difícilmente prosperará, más bien se arruinará.	En desuso
Labradores nuevos, mal para los sembrados	Alude al perjuicio que puede causar alguien inexperto en una actividad laboral.	En desuso
Labrandera buena, hebra pequeña; labrandera mala, hebra de a vara	Quien sabe coser no elige hebras largas porque pueden enredarse y formar nudos. De forma más amplia, quien es bueno en su oficio sabe lo que no debe hacer.	En desuso
La buena obra, a quien la hace se torna	Alude a lo beneficioso que resulta realizar buenas acciones.	En desuso
La buena vida, padre y madre olvida	Quien mejora de nivel de vida puede vanagloriarse hasta el punto de olvidar los afectos familiares, y especialmente el de los padres gracias a cuyo sacrificio pudo ascender.	En desuso
La cama es buen prado: si no se duerme, se está echado	Recomienda acostarse, si no para dormir, al menos para descansar.	En desuso
La cana engaña; el diente miente; la arruga, no deja duda	Puede que con el paso del tiempo se desee aparentar ser más joven de la edad real, por lo que se tiñe el pelo, se procura tener bien la dentadura. Sin embargo, hay algo que no se puede ocultar: la arruga; las arrugas desvelan la llegada de la madurez y la vejez.	En desuso
La carne sobre el hueso reluce como un espejo	Recrimina la delgadez	En desuso
La casa se arruina por la cocina	La economía de una casa depende en su mayor parte de los gastos en alimentación.	En desuso
La comida reposada, y la cena paseada	Se dan recomendaciones para después de comer. Tras la comida de mediodía conviene un pequeño descanso; en cuanto a la cena, conviene dejar un espacio de tiempo para finalziar la digestión antes de acostarse y así poder dormir mejor.	En desuso
La costumbre hace ley	Lo que se admite habitualmente llega a adquirir fuerza jurídica. Algunos, por su propia conveniencia, se aferran a lo que es costumbre, sin analizar si es justo o legítimo.	En desuso
La crítica es fácil y el arte difícil	Resulta sencillo señalar los defectos de algo, pero lo difícil es realizar una obra artística bella y perfecta.	En desuso
La culpa del asno echarla a la albarda	Critica a quienes alegan pretextos sin fundamento para evitar hacer algo. Recrimina también a quienes tratan de justificar sus errores o faltas, tomando como excusa hechos o circunstancias que le son totalmente ajenos.	En desuso
La diligencia es la madre de la buena ventura	Hay que ser muy activo y decidido para conseguir las cosas.	En desuso
Ládreme el perro, y no me muerda	Enseña a no asustarse de las amenazas cuyo cumplimiento no se llevará cabo.	En desuso
La ensalada, poco vinagre y bien aceitada	Aconseja que la ensalada reúna estos requisitos para que esté sabrosa, en especial que se aderece generosamente con aceite.	En desuso
La gallina de mi vecina más huevos pone que la mía	Recrimina a los envidiosos, por considerar que son mejores las posesiones de los demás.	En desuso
La gordura no es hermosura, pero muchos defectos disimula	El refranero no ataca a las personsa con unos kilos de más, antes al contrario, indica que permiten ocultar algunos defectos.	En desuso
Lágrimas quebrantan peñas	Con frecuencia, las personas se ablandan cuando ven llorar a otra.	En desuso
La guerra engendra guerra	Rechaza todo tipo de violencia.	En desuso
La hermosura poco dura	Desengaña de la admiración limitada por la belleza física, pues inevitablemente se marchita.	En desuso
La hija de la cabra, ¿qué ha de ser sino cabrita?	Da a entender que los hijos heredan las cualidades e inclinaciones de sus padres.	En desuso
La hogaza no embaraza	La abundancia de bienes no resulta perjudicial. Se debe disponer de lo necesario para actuary no considerarlo superfluo ni un estorbo.	En desuso
La información es poder	Aumentan las probalidades de sobrevivir, mejorar o tomar la decisión correcta si se dispone a tiempo de la información necesaria.	En desuso
La juventud tiene la fuerza y la vejez la prudencia	Cada edad tiene sus ventajas. Si bien la llegada de la vejez implica una pérdida del vigor y de las facultades, existe la compensación de la enseñanza que aporta la experiencia.	En desuso
La lengua larga es señal de mano escasa	Critica a quienes sólo ofrecen de palabra y no de hecho.	En desuso
La lengua no tiene hueso, pero corta lo más grueso	Con las palabras se puede llegar a causar un gran daño, por haber atacado duramente la sensibilidad del interlocutor.	En desuso
La lima lima a la lima	Las personas más allegadas descubren con facilidad nuestros puntos débiles, por lo que pueden herirnos y hacernos más daño que los demás.	En desuso
La lisonja causa amigos y la verdad enemigos	La verdad no es bien aceptada cuando deja a alguien en evidencia o descubre las faltas.	En desuso
La mala hierba crece mucho	Así como las malas hierbas crecen con facilidad, también las malas acciones y las personas sin corazón se propagan extensamente.	En desuso
La manzana podrida pierde a su compañía	Advierte del peligro que acarrean el trato y la conversación con personas malvadas.	En desuso
La más ruin oveja se ensucia en la colodra	Afirma que la persona más inútil suele ser las más dañina. Se emplea cuando el individuo más despreciable de un grupo echa a perder la labor común, como la oveja que hace su deposición precisamente donde estaba la leche recogida.	En desuso
La mayor riqueza es la voluntad contenta	Aconseja saber conformarse con lo que se tiene como vía para ser feliz.	En desuso
La mejor palabra siempre es la que queda por decir	Se ensalza la prudencia al hablar.	En desuso
La mejor salsa, el apetito	Si bien es verdad que con frecuencia se alaban las propiedades de condimentos y preparados, cuando hay hambre todo se come, no se repara en delicadezas.	En desuso
La mentira presto es vencida	Resulta muy fácil pillar a un mentiroso.	En desuso
La mucha confianza es causa de menosprecio	Recomienda no abusar de la bondad, de la confianza de quienes más no quieren o estiman, porque puede engendrar desprecio.	En desuso
La muerte todo lo barre, todo lo iguala y todo lo ataja	Con la muerte, desaparecen todas las diferencias que existen entre los seres humanos.	En desuso
La mujer compuesta, a su marido quita de puerta ajena	Aconseja a la mujer estar siempre aseada y arreglada para evitar que el marido se interese por otras mujeres.	En desuso
La mujer menudita, siempre pollita	Alaba a la mujer de estatura y complexión menuda, pues suele mantener una figura juvenil.	En desuso
La mujer, rogada, y la olla, reposada	Al igual que al guiso conviene dejarlo un tiempo en su recipiente antes de servirlo, la mujer debe hacer esperar a sus pretendientes haciéndose querer.	En desuso
La mujer y el niño, sólo callan lo que no han sabido	Equipara la mujer y el niño por su dificultad para guardar un secreto o tener discreción en el hablar.	En desuso
La mujer y el oro, lo pueden todo	Alude a dos fuerzas poderosas: el dinero y la mujer.	En desuso
La mujer y el vidrio, siempre están en peligro	Alude a la honestidad de la mujer, al cuidado que se debe tener de ella, pues, una vez perdida, no se repara.	En desuso
La mujer y la sardina, pequeñina	La calidad de personas, animales y objetos no radica en su tamaño. Con frecuencia, el tamaño mediano y las proporciones armoniosas son más estimadas, como sucede con las sardinas no tan grandes, de espinas menos gruesas y bocado delicioso.	En desuso
La necesidad hace a la vieja trotar	La necesidad lleva a hacer lo que no se espera, incluso en contra de lo natural.	En desuso
La noche para pensar, el día para obrar	Critica a quien gusta de hacer del día la noche y viceversa. Se aplica también a quien destaca por la ociosidad.	En desuso
La oveja mansa, cada cordero la mama	Recomienda no ser excesivamente bueno, para evitar los posibles abusos.	En desuso
La oveja que ha de ser para el lobo, es fuerza que lo sea	Encarece la fuerza del destino. Se emplea cuando no se ha podido evitar que algo ocurriera.	En desuso
La palabra convence, el ejemplo arrastra	Las promesas pueden convencer, pero los hechos mucho más.	En desuso
La palabra es plata y el silencio es oro	Alaba la virtud de saber guardar silencio.	En desuso
La palabra que sale de la boca, nunca torna	Previene contra el arrepentimiento por haber dicho algo, por lo que, antes de hablar, conviene reflexionar.	En desuso
La peor gallina es la que más cacarea	Con frecuencia pretende destacar o vanagloriarse de algo quien menos ha hecho por carecer de las cualidades necesarias para llevarlo a cabo.	En desuso
La pimienta es chica, pero pica	Se refiere al poder de lo pequeño y de quien parece débil.	En desuso
La respuesta mansa la ira quebranta	Recomienda mantener la calma y la sangre fría ante quien está airado y evitar hablarle en igual tono.	En desuso
La salud no es conocida hasta que es perdida	Se refiere a las personas que sólo aprecian la salud cuando la pierden.	En desuso
La sangre sin fuego hierve	Pondera la fuerza de los vínculos de sangre (Autoridades). También señala la fuerza de las pasiones sobre todo juveniles, tal es el sentido de «La sangre nueva poco calor ha menester para hervir» (La Celestina IV).	En desuso
Las burlas se vuelven veras	Recomienda discreción con las bromas para evitar que sean dañinas y ofensivas.	En desuso
Las madres hacendosas hacen las hijas perezosas	La educación de los hijos no consiste en liberarlos de cualquier tarea, pues, por querer hacer un bien, resulta un mal.	En desuso
La suegra y el doctor, cuanto más lejos, mejor	Tanto la suegra como el médico no son visitas que resulten agradables.	En desuso
La traición aplace, mas no el que la hace	Se desconfía del traidor, incluso aquel a quien beneficia la traición porque puede suponer una amenaza.	En desuso
La verdad adelgaza, pero no quiebra	Exhorta a decir siempre la verdad, porque tarde o temprano se tiene conocimiento de ella y la verdad se mantiene aunque se intente retorcer y debilitar con astucias.	En desuso
La verdad, como el aceite, quedan encima siempre	La verdad no sólo se acaba descubriendo, sino que es la que prevalece, por muchos detractores que tenga la verdad, por mucho que se la quiera ocultar.	En desuso
La verdad es hija del tiempo	Por mucho que se oculte la verdad, ésta suele salir antes o después.	En desuso
La viña y el potro, críelos otro	Tanto la viña como el potro causan trabajo y gastos, por lo que no resulta recomendable tenerlos. De modo general, este refrán alude a las dificultades que entrañan los principios, por lo que se aconseja servirse de las experiencias ajenas para emprender cosas arriesgadas.	En desuso
La viuda rica hace que llora y repica	Se puede aplicar en un sentido literal, cunado la viuda llora a su difunto marido por guardar las apariencias y al mismo tiempo parece llamar la atención con la esperanza de que alguno la despose. En sentido general, se da a entender que suele prevalecer el interés sobre cualquier afecto más noble en las pasiones humanas.	En desuso
Lección bien aprendida, tarde o nunca se olvida	Para no olvidar una enseñanza, resulta indispensable haberla entendido bien. Se aconseja haber aprendido bien lo que se estudie antes de acostarse, en lugar de dejarlo pendiente para más tarde.	En desuso
Llagas viejas tarde sanan	Se aplica cuando las viejas heridas no se curan con facilidad.	En desuso
Llora el niño por su bien, mas el viejo por su mal	Esto sucede porque corrigen y castigan al niño, y el viejo porque siente enfermedades y otros padecimientos. En definitiva, el llanto acompaña toda la vida del hombre.	En desuso
Loca es la oveja que al lobo se confiesa	Hay que saber a quién se cuentan las cosas, no vaya a ser que nos perjudiquemos nosotros mismos.	En desuso
Loco que sabe callar, por cuerdo es tenido	El estar callado puede hacer que alguien sea considerado discreto en el hablar y con sentido común.	En desuso
Lo fiado, rara vez pagado	Advierte del riesgo que supone no cobrar algo en el momento, confiando en que lo hará más tarde.	En desuso
Lo hallado no es hurtado	No es censurable adueñarse de algo que otro ha perdido, si se desconoce su identidad y, por tanto, no se puede devolver a su dueño.	En desuso
Lo heredado es regalado y lo comprado, sudado	Este refrán establece una oposición entre quien trabaja por adquirir bienes y quien realiza esfuerzo alguno para recibir algo, porque le viene por herencia.	En desuso
Lo más encomendado lleva el gato	En ocasiones sucede que  lo que más se cuida o se  reserva por ser muy delicado se extravíe o lo encuentre la persona a quien no estaba destinado.	En desuso
Lo mío, mío, y lo tuyo, de entrambos	Recrimina la avaricia de quienes desean tener parte en los bienes ajenos sin padecer el menor perjuicio en los suyos.	En desuso
Lo que abunda no daña	No puede causar perjuicio la abundancia de las cosas útiles.	En desuso
Lo que cuesta poco se estima en menos	Da a entender que no sabemos valorar en su justa medida lo que conseguimos sin esfuerzo o lo que adquirimos con poco dinero.	En desuso
Lo que de noche se hace, a la mañana parece	Tarde o temprano se descubren las malas actuaciones, por mucho sigilo que se haya puesto en su ejecución. Se aplica también para animar a adelantar el trabajo cuando hay mucho que hacer al otro día.	En desuso
Lo que el niño oyó en el hogar, eso dice en el portal	Recomienda ser prudentes y cautos con las conversaciones mantenidas delante de los niños, pues su ingenuidad hace que, en muchas ocasiones,  no sepan ser discretos y repitan sin reparo ni reflexión lo que han escuchado a sus mayores.	En desuso
Lo que en la leche se mama, en la mortaja se derrama	Lo que se aprende en los primeros años de vida se arraiga de tal forma que perdura toda la vida.	En desuso
Lo que en los libros no está, la vida te lo enseñará	Alude a todas las enseñanzas que se aprenden de la vida misma.	En desuso
Lo que es común es de ningún	Por lo general, no se cuida debidamente lo que no es de nadie en particular y de todos al mismo tiempo.	En desuso
Lo que fuerza no puede, ingenio lo ve	Da a entender que por lo general se consiguen más cosas con la destreza que con la fuerza.	En desuso
Lo que la loba hace, al lobo le place	Da a entener la facilidad con que se aúnan quienes poseen las mismas costumbres e inclinaciones. Se aplica con frecuencia a los malvados, cuando se ponen de acuerdo en todo lo que resulta dañino para una tercera persona.	En desuso
Lo que mucho vale, mucho cuesta	Alude al gran esfuerzo que se ha de realizar para adquirir algo valioso.	En desuso
Lo que no acaece en un año sucede en un rato	En el momento menos pensado puede tener lugar tanto lo esperado como lo inesperado.	En desuso
Lo que no has de comer, déjalo cocer	Da a entender que no conviene inmiscuirse en asuntos ajenos.	En desuso
Lo que no se comienza, nunca se acaba	Exhorta a ser firmes en el obrar. La realización de cualquier acto implica ponerse manos a la obra, venciendo la pereza que a veces acomete a las personas.	En desuso
Lo que otro suda, a mí poco me dura	Se dice para expresar la convicción de que la ropa usada dura poco, aunque sea regalada. En sentido idiomático se aplica cuando se suele gastar con prodigalidad lo que se adquiere por donación o por herencia, por lo que se recomienda aplicación en el trabajo con el objeto de conservar bien los bienes.	En desuso
Lo que poco cuesta, poco se aprecia	No se suele valorar en su justa medida lo que se ha adquirido a muy buen precio o sin apenas esfuerzo.	En desuso
Lo que uno desecha, a otro aprovecha	Se aplica cuando algo resulta beneficioso para algunos y para otros no.	En desuso
Los hombres ganan la hacienda y las mujeres la conservan	Elogia el papel de la mujer en la buena administración de las propiedades.	En desuso
Los huéspedes mucho gusto dan, pero cuando se van	Alude a la facilidad con uno se cansa de las visitas y a la alegría que uno manifiesta cuando se marchan.	En desuso
Los toros se ven mejor desde la barrera	Resulta fácil juzgar algo desde un sitio donde no hay peligro alguno.	En desuso
Luna con cerco, lluvia y viento	Pronóstico meteorológico para anunciar la lluvia y el viento tomando como referencia la luna.	En desuso
Madrastra, madre áspera, ni de cera ni de pasta	Uno de los miembros de la familia menos apreciados y amados es la madrastra, porque se considera que no quieren a sus hijastros.	En desuso
Malas son de guardar las viñas en septiembre y las doncellas siempre	En sentido recto, aconseja estar vigilantes para no perder la cosecha ante la recolección de la uva y para que no pierda la virginidad la doncella que está a nuestro cuidado. En sentido general, recomienda estar vigilantes cuando estamos a punto de recoger el beneficio de un asunto.	En desuso
Mal me quieren mis comadres, porque les digo las verdades	Advierte que con frecuencia se puede despertar la animadversión hacia quien se muestra franco con uno.	En desuso
Mal para quien calla y peor para quien habla	Hay situaciones en las que resulta difícil saber lo que es más conveniente, callar o hablar.	En desuso
Mandar no quiere par	Si son muchos los que gobiernan, es normal que haya discordancia de pareceres.	En desuso
Manos duchas comen truchas	Con la imagen de la pesca de truchas empleando para ello sólo las manos, se alude a la habilidad o maestría de alguien.	En desuso
Marido celoso no tiene reposo	Quien sufre de celos no tiene tranquilidad.	En desuso
Más ablanda el dinero que palabras de caballero	Alude al poder del dinero para alcanzar las cosas.	En desuso
Más caga un buey que cien golondrinos	Quien es valeroso de una sola vez hace más que quien no lo es en mucho tiempo y con mucha diligencia. Se utiliza para ensalzar la facultad de alguien para hacer algo frente a otro más débil.	En desuso
Más corre el cojo que el sano	Quien no posee tara física alguna tiene más posibilidades de triunfar. En sentido general, llega mucho más lejos quien carece de obstáculos, quien no ha de luchar continuamente con la adversidad.	En desuso
Más daño hacen amigos necios que enemigos descubiertos	Las personas insensatas, si son amigos nuestros, resultan muy peligrosas porque pueden desvelar secretos nuestros sin darse cuenta del daño que nos pueden hacer.	En desuso
Más discurre un hambriento que cien letrados	El estar en un apuro hace aumentar el ingenio.	En desuso
Más hace el lobo callando que el perro ladrando	La comparación entre dos animales (uno salvaje y otro doméstico) sirve para marcar la diferencia de autoridad y poder entre dos personas, una de ellas con un carácter mucho más fuerte. Con su sola presencia, impone su autoridad.	En desuso
Más moscas se cogen con miel que con hiel	Para atraer la voluntad de alguien, lo mejor es la dulzura.	En desuso
Más quiero libertad con pobreza que prisión con riqueza	Exorta a ser libre, aunque ello signifique carecer de bienes.	En desuso
Más sabe el loco en su casa que el cuerdo en la ajena	El dueño de un negocio sabe más de él, por poco que entienda, que otra persona que lo juzga de lejos y sin conocimiento alguno. Da a entender la importancia de la experiencia. Con este refrán se excusa a veces el comportamiento de alguien que resulta incomprensible, pero que tiene su fundamento aunque no es conocido porque no es discreto hacerlo público.	En desuso
Más se ha de estimar un diente que un diamante	Del mismo modo que es preferible el diente natural al postizo, resulta mucho mejor lo natural y necesario para la vida que lo accesorio.	En desuso
Más vale agua del cielo que todo el riego	Alude a lo beneficiosa que resulta la lluvia para la agricultura.	En desuso
Más vale amigos en la plaza, que dineros en el arca	Es preferible el valor de la amistad al del dinero.	En desuso
Más vale buena esperanza que ruin posesión	Da a entender que es preferible soñar con lo que se desea a adquirirlo con malas artes o por la fuerza.	En desuso
Más vale buena fama que dorada cama	Es preferible el valor moral reconocido que la riqueza.	En desuso
Más vale buen callar que mal hablar	Este refrán se emplea en sentido recto. Elogia la discreción en el hablar.	En desuso
Más vale buen vecino que pariente ni primo	Se ensalza la vencidad frente al parentesco porque, en las situaciones difíciles, se recurre con frecuencia a la persona más cercana, un vecino, por lo general.	En desuso
Más vale burro sano que sabio enfermo	Se ensalza la salud frente a la enfermedad, aunque ello signifique que va unido a la necedad.	En desuso
Más vale gastar en pan que en botica	Recomienda llevar una dieta sana para evitar caer enfermos.	En desuso
Más vale la práctica que la gramática	Se aprende un oficio ejerciéndolo. Se da más valor al conocimiento práctico que al teórico.	En desuso
Más vale morir con honra que vivir con deshonra	Exhorta a mantener en todo momento una reputación intachable, aunque suponga realizar grandes sacrificios.	En desuso
Más valen dos bocados de vaca que siete de patata	Es preferible la calidad a la cantidad.	En desuso
Más vale onza de sangre que libra de amistad	Los vínculos familiares prevalecen sobre los de la amistad.	En desuso
Más vale perder que más perder	Da a entender que es mejor privarse de algo a verse continuamente privado de cosas.	En desuso
Más vale perderse el hombre que, si es bueno, perder el nombre	Es preferibe preservar la buena reputación que vivir sin ella.	En desuso
Más vale perro vivo que león muerto	Es preferible estar vivo sin ningún tipo de autoridad a estar muerto.	En desuso
Más vale preguntar viejo, que morir necio	El aprendizaje no tiene edad, pues a cualquier edad se aprende algo nuevo.	En desuso
Más vale quedar con gana que caer en la cama	Recomienda ser moderado en la comida para no enfermar por exceso.	En desuso
Más vale que digan de aquí huyó que aquí murió	Recriminia al cobarde y al ruin que no se atreve a comparecer y prefiere que su reputación resulte seriamente dañada.	En desuso
Más vale saber que haber	Se debe preferir la ciencia a la riqueza.	En desuso
Más vale ser amo de cabaña que mozo de campaña	Resulta preferible ser jefe de un espacio pequeño a no serlo en un espacio mucho mayor.	En desuso
Más vale ser arriero que borrico	Es preferible ser el jefe que el subordinado.	En desuso
Más vale ser envidiado que compadecido	Es preferible despertar la envidia de los demás por tener bienes o cualidades a suscitar compasión por carecer de ellos.	En desuso
Más vale soltero andar que mal casar	Recomienda preferir la soltería para evitar un matrimonio desgraciado.	En desuso
Más vale sudar que estornudar	Recomienda abrigarse o alejarse de las corrientes para evitar los resfriados.	En desuso
Más vale tuerto que ciego	Es preferible carecer de una parte de algo a vernos privados de todo, pues la privación, cuanto menor sea, menos perjudicial resultará.	En desuso
Más vale un buen amigo que un ruin pariente	En ocasiones, vale más una buena amistad que la familia, en especial si la relación resulta dañina.	En desuso
Mayo frío, mucho trigo	Este refrán señala la cosecha que habrá en función del tiempo que haga en mayo.	En desuso
Médico, cúrate a ti mismo	Se dice a quienes se ocupan de la salud humana para que vigilen también su estado de salud. En general, recomienda verse tal como uno es, con sus virtudes y defectos.	En desuso
Mejor dar que recibir	Se aplica a situaciones muy distintas, ya sea cuando alguien golpea físicamente a otro, ya sea cuando alguien ayuda a otro sin pedir nada a cambio, ya sea cuando alguien se encuentra en mejor situación que quien ha de rogar para que le auxilien.	En desuso
Mejor es lamiendo que mordiendo	Con amabilidad y adulación se obtienen más cosas que por la fuerza.	En desuso
Mejor es pan duro que ninguno	No conviene despreciar algo necesario, por muy modesto que sea.	En desuso
Mejor se enciende un horno viejo que (uno) nuevo	Se refiere al buen funcionamiento de los objetos gracias al uso.	En desuso
Menea la cola el can, no por ti sino por el pan	Por lo general, los elogios y regalos se hacen por interés, más que por amor o afecto.	En desuso
Meter aguja y sacar reja	Se dice cuando se da poco con la pretensión de obtener mucho beneficio.	En desuso
Mientras dura, vida y dulzura	Se refiere a la persona que disfruta del placer presente, sin preocuparse por el futuro.	En desuso
Mientras el necio piensa, hace el sabio la hacienda	El desenvuelto adelanta al que se retrasa por exceso de reflexión. Advierte que pensar mucho antes de decidirse no es siempre recomendable.	En desuso
Mientras en mi casa estoy, rey me soy	Cada uno, incluso el más humilde, manda en su casa.	En desuso
Mientras se gana algo no se pierde nada	Expresa la conformidad ante una pequeña ganancia, si no se consigue más.	En desuso
Mi marido es tamborilero, Dios me lo dio y así me lo quiero	Conviene estar contento con su suerte.	En desuso
Moneda falsa, de noche pasa	Resulta más fácil el engaño si se lleva a cabo con luz escasa.	En desuso
Mucho sabe la zorra, pero más el que la toma	Nadie puede confiarse en su sagacidad, porque siempre hay alguien que lo supera.	En desuso
Muchos ajos en un mortero, mal los maja el majadero	Resulta sumamente difícil para una única persona manejar a la vez muchos negocios.	En desuso
Muda el lobo los dientes, mas no las mientes	Aunque uno procure disimular su naturaleza, siempre sale a la luz, ya sea por las obras o por las palabras. Se aplica también a los malvados cuyo genio no cambia con el paso de los años.	En desuso
Muera Marta, muera harta	Critica a quienes se dedican a hacer su gusto, aunque esto les pueda ocasionar un gran daño.	En desuso
Muerta es la abeja, que daba la miel y la cera	Ya no está o ya ha muerto quien ayudaba y resolvía los problemas; por ejemplo, la madre.	En desuso
Muerte de suegra, dolor de codo, que duele mucho y dura poco	Denota la brevedad del duelo que se siente por lo general hacia la suegra. El refranero refleja el poco afecto que se profesa a la suegra.	En desuso
